"chrom","len","n_mappable","sample","median_coverage","variance","p.uncovered","n.telomeres","mean_cov","high_cov","weird"
"scf_8253815",515885,514537,"TtM0",37,938.4108,0.002967716,2,37.2073546097979,FALSE,FALSE
"scf_8253815",515885,514537,"TtM28",45,384.6744,0.001071944,2,45.1663081494882,FALSE,FALSE
"scf_8253815",515885,514537,"TtM50",104,2065.96,0.0005001115,2,104.324636377772,FALSE,FALSE
"scf_8253815",515885,514537,"TtM40",13,94.2726,0.01498202,2,13.2323044533901,FALSE,FALSE
"scf_8253815",515885,514537,"TtM47",47,292.5544,0.0007559824,2,47.1587832686868,FALSE,TRUE
"scf_8253815",515885,514537,"TtM25",28,36.99261,0.0003605455,2,28.0834806414813,FALSE,FALSE
"scf_8253815",515885,514537,"TtM531",63,871.2476,0.001085513,2,63.2336903479619,FALSE,FALSE
"scf_8253815",515885,514537,"TtM51",40,56.77273,4.264516e-05,2,40.106503589565,FALSE,TRUE
"scf_8253817",193921,193556,"TtM40",17,112.2519,0.005883839,2,17.1328649245472,FALSE,FALSE
"scf_8253817",193921,193556,"TtM29",30,40.52022,0.00189768,2,30.1137189770325,FALSE,FALSE
"scf_8253817",193921,193556,"TtM19",58,83.37833,0.001686254,2,58.2075267060262,FALSE,FALSE
"scf_8253817",193921,193556,"TtM47",51,243.4465,0.001825486,2,51.1896196511857,FALSE,TRUE
"scf_8253817",193921,193556,"TtM28",50,399.2545,0.002000815,2,50.194718303309,FALSE,FALSE
"scf_8253817",193921,193556,"TtM531",65,799.8662,0.001944091,2,65.2494251656288,FALSE,FALSE
"scf_8253817",193921,193556,"TtM20",36,52.12826,0.00192862,2,36.137582995081,FALSE,FALSE
"scf_8253817",193921,193556,"TtM51",47,72.70035,0.001815172,2,47.1742600765382,FALSE,TRUE
"scf_8253817",193921,193556,"TtM25",29,40.76613,0.001815172,2,29.1075221748853,FALSE,FALSE
"scf_8253817",193921,193556,"TtM0",42,924.4587,0.003274529,2,42.2174441298349,FALSE,FALSE
"scf_8253817",193921,193556,"TtM50",106,1696.948,0.00189768,2,106.401807052182,FALSE,FALSE
"scf_8253817",193921,193556,"TtM44",197,10548.01,0.001804859,2,197.728366376157,FALSE,FALSE
"scf_8253818",10356,7082,"TtM50",24,379.9529,0.06266898,0,37.4415975859739,FALSE,FALSE
"scf_8253818",10356,7082,"TtM20",20,81.23296,0.03456933,0,30.293191030564,FALSE,FALSE
"scf_8253818",10356,7082,"TtM25",17,68.02236,0.04354963,0,25.9909767781407,FALSE,FALSE
"scf_8253818",10356,7082,"TtM44",8,78.60884,0.1027424,0,13.0379394782838,FALSE,FALSE
"scf_8253818",10356,7082,"TtM19",35,223.0767,0.04007339,0,53.317052537883,FALSE,FALSE
"scf_8253818",10356,7082,"TtM0",6,119.9225,0.1286211,0,10.0688606459516,FALSE,FALSE
"scf_8253818",10356,7082,"TtM40",3,8.373035,0.2256663,0,5.66538219499075,FALSE,FALSE
"scf_8253818",10356,7082,"TtM51",31,203.1967,0.03186559,0,46.8233149106506,FALSE,TRUE
"scf_8253818",10356,7082,"TtM47",5,123.5774,0.08314021,0,7.97449512784158,FALSE,TRUE
"scf_8253818",10356,7082,"TtM29",20,85.87314,0.04557744,0,30.642586354073,FALSE,FALSE
"scf_8253818",10356,7082,"TtM531",15,162.826,0.08738895,0,24.0348632473895,FALSE,FALSE
"scf_8253818",10356,7082,"TtM28",10,95.62594,0.08545771,0,15.9894058661166,FALSE,FALSE
"scf_8253820",3476,2912,"TtM25",22,83.27446,0.0287687,0,27.0388619178449,FALSE,FALSE
"scf_8253820",3476,2912,"TtM29",19,74.59881,0.01927503,0,23.1256934907501,FALSE,FALSE
"scf_8253820",3476,2912,"TtM19",33,127.3596,0.01611047,0,40.0364901906045,FALSE,FALSE
"scf_8253820",3476,2912,"TtM20",23,97.93625,0.0198504,0,28.0106938059969,FALSE,FALSE
"scf_8253820",3476,2912,"TtM28",11,43.02212,0.02819333,0,13.5114266148168,FALSE,FALSE
"scf_8253820",3476,2912,"TtM50",27,291.4658,0.01639816,0,32.7667093469402,FALSE,FALSE
"scf_8253820",3476,2912,"TtM0",6,12.98892,0.04631761,0,7.50992991711623,FALSE,FALSE
"scf_8253820",3476,2912,"TtM531",14,87.46389,0.03855006,0,17.3816001918295,FALSE,FALSE
"scf_8253820",3476,2912,"TtM44",13,52.28711,0.02991945,0,15.9964625028892,FALSE,FALSE
"scf_8253820",3476,2912,"TtM47",1,13.34122,0.310702,0,1.73173477752919,FALSE,TRUE
"scf_8253820",3476,2912,"TtM40",3,4.161402,0.1055811,0,4.00376597145248,FALSE,FALSE
"scf_8253820",3476,2912,"TtM51",30,154.3557,0.01668585,0,36.4181066248661,FALSE,TRUE
"scf_8253823",333252,332626,"TtM20",32,62.91695,0.001644401,2,32.1130304943507,FALSE,FALSE
"scf_8253823",333252,332626,"TtM51",40,58.73976,0.001539376,2,40.1370657793872,FALSE,TRUE
"scf_8253823",333252,332626,"TtM0",38,960.2604,0.004330057,2,38.2370845118854,FALSE,FALSE
"scf_8253823",333252,332626,"TtM47",48,309.9357,0.002271554,2,48.1998241957904,FALSE,TRUE
"scf_8253823",333252,332626,"TtM25",28,37.54165,0.001641401,2,28.0988172472596,FALSE,FALSE
"scf_8253823",333252,332626,"TtM19",49,72.11925,0.001497365,2,49.1658368892833,FALSE,FALSE
"scf_8253823",333252,332626,"TtM28",42,349.8574,0.002094511,2,42.167363737987,FALSE,FALSE
"scf_8253823",333252,332626,"TtM40",14,103.4184,0.01375236,2,14.2219330535134,FALSE,FALSE
"scf_8253823",333252,332626,"TtM29",29,40.35175,0.001674409,2,29.1033086560651,FALSE,FALSE
"scf_8253823",333252,332626,"TtM44",131,6602.133,0.001536375,2,131.448495342374,FALSE,FALSE
"scf_8253823",333252,332626,"TtM531",61,829.8458,0.001767431,2,61.2230090531281,FALSE,FALSE
"scf_8253823",333252,332626,"TtM50",99,1862.594,0.001692413,2,99.3544661555792,FALSE,FALSE
"scf_8253824",1654,375,"TtM29",0,0.1072777,0.8778718,0,0,FALSE,FALSE
"scf_8253824",1654,375,"TtM51",0,1.566436,0.5550181,0,0,FALSE,TRUE
"scf_8253824",1654,375,"TtM50",0,0,1,0,NA,FALSE,FALSE
"scf_8253824",1654,375,"TtM28",0,0,1,0,NA,FALSE,FALSE
"scf_8253824",1654,375,"TtM44",0,0,1,0,NA,FALSE,FALSE
"scf_8253824",1654,375,"TtM0",0,11.50571,0.6505441,0,0,FALSE,FALSE
"scf_8253824",1654,375,"TtM531",0,0,1,0,NA,FALSE,FALSE
"scf_8253824",1654,375,"TtM40",0,0,1,0,NA,FALSE,FALSE
"scf_8253824",1654,375,"TtM20",0,0,1,0,NA,FALSE,FALSE
"scf_8253824",1654,375,"TtM25",0,0.05736995,0.9389359,0,0,FALSE,FALSE
"scf_8253824",1654,375,"TtM47",0,0,1,0,NA,FALSE,TRUE
"scf_8253824",1654,375,"TtM19",0,0,1,0,NA,FALSE,FALSE
"scf_8253829",3705,2552,"TtM40",9,68.7255,0.0974359,1,14.4767807300699,FALSE,FALSE
"scf_8253829",3705,2552,"TtM51",33,151.3441,0.03022942,1,49.4029038895165,FALSE,TRUE
"scf_8253829",3705,2552,"TtM531",28,316.0021,0.04750337,1,42.6778100195858,FALSE,FALSE
"scf_8253829",3705,2552,"TtM47",45,421.206,0.02860999,1,67.2552859099967,FALSE,TRUE
"scf_8253829",3705,2552,"TtM0",17,321.9141,0.06315789,1,26.3445060483338,FALSE,FALSE
"scf_8253829",3705,2552,"TtM20",31,151.8563,0.02995951,1,46.3958754370621,FALSE,FALSE
"scf_8253829",3705,2552,"TtM44",0,0.05108093,0.9460189,1,0,FALSE,FALSE
"scf_8253829",3705,2552,"TtM29",21,105.4029,0.03238866,1,31.5083664321016,FALSE,FALSE
"scf_8253829",3705,2552,"TtM25",24,101.9761,0.03238866,1,36.0095616366875,FALSE,FALSE
"scf_8253829",3705,2552,"TtM50",49,774.5297,0.0340081,1,73.6427736961485,FALSE,FALSE
"scf_8253829",3705,2552,"TtM19",38,318.1539,0.03076923,1,56.9198760557361,FALSE,FALSE
"scf_8253829",3705,2552,"TtM28",20,158.4919,0.04966262,1,30.5534126803892,FALSE,FALSE
"scf_8253831",1544,0,"TtM20",0,0,1,0,NA,FALSE,FALSE
"scf_8253831",1544,0,"TtM531",0,0,1,0,NA,FALSE,FALSE
"scf_8253831",1544,0,"TtM40",0,0,1,0,NA,FALSE,FALSE
"scf_8253831",1544,0,"TtM19",0,0,1,0,NA,FALSE,FALSE
"scf_8253831",1544,0,"TtM0",0,0,1,0,NA,FALSE,FALSE
"scf_8253831",1544,0,"TtM28",0,0,1,0,NA,FALSE,FALSE
"scf_8253831",1544,0,"TtM25",0,0,1,0,NA,FALSE,FALSE
"scf_8253831",1544,0,"TtM50",0,0,1,0,NA,FALSE,FALSE
"scf_8253831",1544,0,"TtM51",0,0,1,0,NA,FALSE,TRUE
"scf_8253831",1544,0,"TtM29",0,0,1,0,NA,FALSE,FALSE
"scf_8253831",1544,0,"TtM47",0,0,1,0,NA,FALSE,TRUE
"scf_8253831",1544,0,"TtM44",0,0,1,0,NA,FALSE,FALSE
"scf_8253834",26995,26203,"TtM51",50,117.1591,0.0001111317,1,51.5170025067238,FALSE,TRUE
"scf_8253834",26995,26203,"TtM0",20,375.3807,0.006816077,1,20.7459166995221,FALSE,FALSE
"scf_8253834",26995,26203,"TtM20",37,90.9514,0.00503797,1,38.311356693326,FALSE,FALSE
"scf_8253834",26995,26203,"TtM47",38,351.7074,0.00437118,1,39.320447528165,FALSE,TRUE
"scf_8253834",26995,26203,"TtM28",29,249.1705,0.006223375,1,30.063638148161,FALSE,FALSE
"scf_8253834",26995,26203,"TtM29",31,67.1199,0.0001852195,1,31.9429083970088,FALSE,FALSE
"scf_8253834",26995,26203,"TtM25",27,45.72875,0.005927024,1,27.9819393870279,FALSE,FALSE
"scf_8253834",26995,26203,"TtM44",124,6791.957,0,1,127.747967789948,FALSE,FALSE
"scf_8253834",26995,26203,"TtM19",55,143.8509,0.0004074829,1,56.6855034414523,FALSE,FALSE
"scf_8253834",26995,26203,"TtM50",60,1037.441,0.005927024,1,62.1820875267286,FALSE,FALSE
"scf_8253834",26995,26203,"TtM531",38,395.5482,0.007149472,1,39.4304778718301,FALSE,FALSE
"scf_8253834",26995,26203,"TtM40",10,74.62216,0.02704204,1,10.5885926118856,FALSE,FALSE
"scf_8253835",4152,1607,"TtM28",7,88.11568,0.2574038,0,24.3549243854706,FALSE,FALSE
"scf_8253835",4152,1607,"TtM51",19,145.0822,0.02591313,0,50.3961522884383,FALSE,TRUE
"scf_8253835",4152,1607,"TtM44",0,5.692848,0.7502468,0,0,FALSE,FALSE
"scf_8253835",4152,1607,"TtM20",15,99.79057,0.05256663,0,40.9057208196478,FALSE,FALSE
"scf_8253835",4152,1607,"TtM47",17,139.3996,0.04540967,0,46.0122381352461,FALSE,TRUE
"scf_8253835",4152,1607,"TtM29",12,67.79743,0.04146101,0,32.3454301454659,FALSE,FALSE
"scf_8253835",4152,1607,"TtM50",17,461.8515,0.142152,0,51.2011890050022,FALSE,FALSE
"scf_8253835",4152,1607,"TtM40",1,14.51555,0.3827739,0,4.18598035397813,FALSE,FALSE
"scf_8253835",4152,1607,"TtM0",6,164.5074,0.2583909,0,20.9034354774978,FALSE,FALSE
"scf_8253835",4152,1607,"TtM19",21,160.3631,0.05380059,0,57.3426936503938,FALSE,FALSE
"scf_8253835",4152,1607,"TtM25",14,75.54815,0.06145114,0,38.5400804811329,FALSE,FALSE
"scf_8253835",4152,1607,"TtM531",10,237.4924,0.2924482,0,36.5160024829636,FALSE,FALSE
"scf_8253838",3616,2160,"TtM40",1,20.46322,0.3777655,0,2.69042310266318,FALSE,FALSE
"scf_8253838",3616,2160,"TtM50",15,402.9082,0.2035398,0,31.5283941509081,FALSE,FALSE
"scf_8253838",3616,2160,"TtM28",7,122.0385,0.346792,0,17.9399494778363,FALSE,FALSE
"scf_8253838",3616,2160,"TtM29",15,113.7887,0.1805863,0,30.6452175636203,FALSE,FALSE
"scf_8253838",3616,2160,"TtM20",20,178.3066,0.1667588,0,40.1822203240568,FALSE,FALSE
"scf_8253838",3616,2160,"TtM0",5,70.9515,0.3315819,0,12.5226566581162,FALSE,FALSE
"scf_8253838",3616,2160,"TtM19",25,318.7302,0.1457412,0,48.9920055278937,FALSE,FALSE
"scf_8253838",3616,2160,"TtM47",13,141.9856,0.07494469,0,23.5261207926723,FALSE,TRUE
"scf_8253838",3616,2160,"TtM44",19,980.8556,0.2021571,0,39.8667549807204,FALSE,FALSE
"scf_8253838",3616,2160,"TtM51",24,211.2838,0.05835177,0,42.6675020434943,FALSE,TRUE
"scf_8253838",3616,2160,"TtM531",9,208.6754,0.2884403,0,21.1741427552272,FALSE,FALSE
"scf_8253838",3616,2160,"TtM25",14,108.9409,0.1684181,0,28.1836786455273,FALSE,FALSE
"scf_8253840",6462,2644,"TtM25",11,80.4309,0.2076391,0,33.929319661328,FALSE,FALSE
"scf_8253840",6462,2644,"TtM19",18,185.2235,0.1975794,0,54.8246589176294,FALSE,FALSE
"scf_8253840",6462,2644,"TtM28",7,129.7745,0.2382898,0,22.4602078851538,FALSE,FALSE
"scf_8253840",6462,2644,"TtM531",12,272.7123,0.1986797,0,36.5999594281917,FALSE,FALSE
"scf_8253840",6462,2644,"TtM51",22,147.7132,0.1375354,0,62.3428863358276,FALSE,TRUE
"scf_8253840",6462,2644,"TtM29",9,60.67492,0.1773027,0,26.7367084488302,FALSE,FALSE
"scf_8253840",6462,2644,"TtM40",2,17.1813,0.4148067,0,8.35287829081046,FALSE,FALSE
"scf_8253840",6462,2644,"TtM0",7,161.4799,0.2646966,0,23.2668167184349,FALSE,FALSE
"scf_8253840",6462,2644,"TtM50",20,501.9922,0.1669286,0,58.6750236714132,FALSE,FALSE
"scf_8253840",6462,2644,"TtM20",15,108.6688,0.1807608,0,44.7492784601042,FALSE,FALSE
"scf_8253840",6462,2644,"TtM44",26,1278.86,0.1729016,0,76.8283790048083,FALSE,FALSE
"scf_8253840",6462,2644,"TtM47",18,200.4703,0.1104998,0,49.4574770230289,FALSE,TRUE
"scf_8253842",2299,1197,"TtM19",14,182.6287,0.1505002,0,31.6526135602255,FALSE,FALSE
"scf_8253842",2299,1197,"TtM531",4,71.29737,0.2979556,0,10.9430965940896,FALSE,FALSE
"scf_8253842",2299,1197,"TtM0",1,9.389813,0.4345368,0,3.39656925620433,FALSE,FALSE
"scf_8253842",2299,1197,"TtM20",10,47.47284,0.1718138,0,23.1908587783148,FALSE,FALSE
"scf_8253842",2299,1197,"TtM29",8,68.2882,0.1779034,0,18.6901142336307,FALSE,FALSE
"scf_8253842",2299,1197,"TtM44",0,0,1,0,NA,FALSE,FALSE
"scf_8253842",2299,1197,"TtM47",6,16.06619,0.1565898,0,13.6633509101615,FALSE,TRUE
"scf_8253842",2299,1197,"TtM28",3,28.24898,0.3597216,0,8.99906159868076,FALSE,FALSE
"scf_8253842",2299,1197,"TtM50",4,65.80381,0.2683776,0,10.5006895394943,FALSE,FALSE
"scf_8253842",2299,1197,"TtM40",1,0.8056078,0.4793388,0,3.68883819388677,FALSE,FALSE
"scf_8253842",2299,1197,"TtM25",9,64.69631,0.1583297,0,20.5373936631889,FALSE,FALSE
"scf_8253842",2299,1197,"TtM51",15,112.3568,0.1622445,0,34.3889402212505,FALSE,TRUE
"scf_8253843",128647,126062,"TtM51",39,80.98201,0.01261795,1,40.3083340758333,FALSE,TRUE
"scf_8253843",128647,126062,"TtM19",49,103.8627,0.0127891,1,50.6525843267823,FALSE,FALSE
"scf_8253843",128647,126062,"TtM29",29,50.08727,0.01286689,1,29.9804225016763,FALSE,FALSE
"scf_8253843",128647,126062,"TtM531",54,725.1387,0.01340366,1,55.855986932723,FALSE,FALSE
"scf_8253843",128647,126062,"TtM44",125,6172.026,0.01425938,1,129.408507948666,FALSE,FALSE
"scf_8253843",128647,126062,"TtM25",28,51.52227,0.01279688,1,28.9445620069808,FALSE,FALSE
"scf_8253843",128647,126062,"TtM28",42,354.1777,0.01448497,1,43.4912117783606,FALSE,FALSE
"scf_8253843",128647,126062,"TtM50",94,1675.219,0.0132014,1,97.2108630774935,FALSE,FALSE
"scf_8253843",128647,126062,"TtM20",35,67.72399,0.01271908,1,36.1778513864181,FALSE,FALSE
"scf_8253843",128647,126062,"TtM0",35,779.2479,0.01943258,1,36.425544712067,FALSE,FALSE
"scf_8253843",128647,126062,"TtM40",13,99.23948,0.03304628,1,13.7199691183707,FALSE,FALSE
"scf_8253843",128647,126062,"TtM47",47,340.7358,0.01267241,1,48.5793897391555,FALSE,TRUE
"scf_8253844",1208,90,"TtM44",0,0,1,0,NA,FALSE,FALSE
"scf_8253844",1208,90,"TtM28",0,0,1,0,NA,FALSE,FALSE
"scf_8253844",1208,90,"TtM20",0,0,1,0,NA,FALSE,FALSE
"scf_8253844",1208,90,"TtM40",0,0,1,0,NA,FALSE,FALSE
"scf_8253844",1208,90,"TtM531",0,0,1,0,NA,FALSE,FALSE
"scf_8253844",1208,90,"TtM19",0,0,1,0,NA,FALSE,FALSE
"scf_8253844",1208,90,"TtM0",0,0,1,0,NA,FALSE,FALSE
"scf_8253844",1208,90,"TtM51",0,0,1,0,NA,FALSE,TRUE
"scf_8253844",1208,90,"TtM47",0,0.2837614,0.7980132,0,0,FALSE,TRUE
"scf_8253844",1208,90,"TtM25",0,0,1,0,NA,FALSE,FALSE
"scf_8253844",1208,90,"TtM50",0,0,1,0,NA,FALSE,FALSE
"scf_8253844",1208,90,"TtM29",0,0,1,0,NA,FALSE,FALSE
"scf_8253845",4262,1335,"TtM40",3,27.50498,0.1756367,0,11.6180913074219,FALSE,FALSE
"scf_8253845",4262,1335,"TtM19",21,159.9276,0.0326766,0,69.3074277219113,FALSE,FALSE
"scf_8253845",4262,1335,"TtM51",21,177.138,0.05886593,0,71.2360743982135,FALSE,TRUE
"scf_8253845",4262,1335,"TtM531",11,279.2046,0.1492071,0,41.2763235286222,FALSE,FALSE
"scf_8253845",4262,1335,"TtM25",12,55.71601,0.0691975,0,41.1581537002217,FALSE,FALSE
"scf_8253845",4262,1335,"TtM0",6,357.1396,0.1407977,0,22.2940001205482,FALSE,FALSE
"scf_8253845",4262,1335,"TtM50",20,583.8493,0.1417588,0,74.3965534000437,FALSE,FALSE
"scf_8253845",4262,1335,"TtM20",17,90.16265,0.05550216,0,57.4619198451846,FALSE,FALSE
"scf_8253845",4262,1335,"TtM28",9,152.4938,0.134791,0,33.208836558176,FALSE,FALSE
"scf_8253845",4262,1335,"TtM29",12,56.88969,0.06703508,0,41.0627576003078,FALSE,FALSE
"scf_8253845",4262,1335,"TtM44",0,0.4639597,0.8313311,0,0,FALSE,FALSE
